rank,word,entropy_bits,expected_remaining
199,REIGN,4.9692,37.4
200,ROGUE,4.9684,34.53
201,WRIST,4.9658,37.27
202,FIRST,4.9636,41.38
203,PRIME,4.9627,35.06
204,START,4.9591,35.99
205,POINT,4.9587,41.67
206,HAUNT,4.9543,39.57
207,AGREE,4.9522,34.17
208,DRIVE,4.9503,36.02
209,GUISE,4.9482,37.86
210,GUILE,4.9442,38.04
211,STORY,4.9437,37.96
212,SCALD,4.941,34.67
213,AEGIS,4.9393,30.96
214,SHARP,4.9385,39.27
215,COUNT,4.938,46.82
216,RANCH,4.9374,38.6
217,TRAMP,4.9372,38.25
218,BLAME,4.9365,38.06
219,ANTIC,4.9284,36.47
220,CHAIN,4.9261,43.15
221,FRESH,4.9159,37.5
222,AMEND,4.9158,37.4
223,GRAFT,4.9095,38.27
224,STORM,4.9086,39.5
225,SHEER,4.9035,39.94
226,CLEFT,4.9019,39.7
227,TONIC,4.8959,43.3
228,NORTH,4.8956,38.22
229,PREEN,4.8955,42.37
230,SOLID,4.8952,37.69
231,CHAFE,4.8926,38.55
232,SPREE,4.8917,41.98
233,COVET,4.8897,37.21
234,OLIVE,4.8891,36.27
235,PHONE,4.8863,37.68
236,FRUIT,4.8852,43.06
237,AZURE,4.8844,30.01
238,NOBLE,4.8836,35.46
239,CREED,4.8834,42.12
240,CAMEO,4.8816,33.71
241,COVER,4.8816,39.49
242,TOKEN,4.8806,36.81
243,STALK,4.8776,38.98
244,PROVE,4.8765,38.04
245,UNDER,4.8758,36.01
246,WEARY,4.8719,36.45
247,ALIGN,4.8714,44.54
248,CLAIM,4.8687,43.6
249,HOARY,4.8655,35.75
250,GAUNT,4.8637,43.68
251,BOARD,4.8604,40.31
252,ROYAL,4.8595,35.47
253,SPLIT,4.858,44.02
254,ORBIT,4.8577,39.27
255,EDICT,4.8574,40.97
256,VOICE,4.8549,39.12
257,SCOUT,4.8532,46.74
258,WRATH,4.8482,40.94
259,STOIC,4.8475,38.54
260,SONIC,4.8459,39.69
261,ABIDE,4.8448,36.26
262,SCENE,4.8431,37.96
263,RAPID,4.8428,38.89
264,GRASP,4.8427,38.81
265,PROBE,4.8393,39.5
266,REPAY,4.8391,37.11
267,CURVE,4.838,38.21
268,THIRD,4.837,42.05
269,ALTAR,4.8355,36.05
270,VIRAL,4.8324,37.03
271,PEACE,4.8322,39.85
272,UPSET,4.8302,43.24
273,LATCH,4.829,43.86
274,DREGS,4.8256,37.04
275,TITLE,4.8233,37.08
276,FABLE,4.8226,39.93
277,GREEN,4.8202,44.45
278,LOOSE,4.818,37.5
279,VALOR,4.8178,37.74
280,ABODE,4.8176,35.46
281,LODGE,4.8165,40.19
282,ROUND,4.8163,48.89
283,SWARD,4.815,40.01
284,VAULT,4.8108,39.62
285,SLEEP,4.8091,48.68
286,GROVE,4.8087,40.58
287,SETUP,4.8085,45.01
288,SHREW,4.8084,42.3
289,UNTIL,4.8066,41.41
290,FORGE,4.8031,39.63
291,SHOUT,4.8,54.96
292,AWARE,4.7976,38.49
293,REBUT,4.7957,38.24
294,SHAFT,4.7936,49.3
295,HAVEN,4.7934,40.43
296,PILOT,4.7908,41.14
297,SWIRL,4.7874,39.44
298,LAUDS,4.7853,40.07
299,SPEND,4.7838,42.25
300,TANGO,4.78,40.77
301,WEIRD,4.7771,43.15
302,CARGO,4.7764,40.31
303,SOUND,4.7743,50.26
304,CHIDE,4.7729,44.49
305,NOVEL,4.7716,39.65
306,SHARK,4.7675,43.93
307,GUARD,4.7675,42.83
308,CHEAP,4.7654,44.45
309,DELAY,4.7645,40.97
310,GRIEF,4.7633,42.54
311,TEPID,4.7613,42.22
312,RIVAL,4.7605,40.1
313,FELON,4.7587,41.02
314,MODEL,4.753,42.95
315,IMAGE,4.7522,37.2
316,FLASH,4.7521,45.35
317,AMBER,4.7502,38.17
318,AORTA,4.7458,39.05
319,GLEAM,4.7449,44.4
320,USHER,4.7444,36.2
321,FINAL,4.7434,46.1
322,DENSE,4.7418,41.83
323,DEPOT,4.7402,40.05
324,CHARM,4.7381,48.06
325,OFTEN,4.7374,39.46
326,MINOR,4.7367,42.05
327,DRIFT,4.7354,45.8
328,BURST,4.7354,48.57
329,FLEET,4.7323,45.46
330,PRANK,4.7316,41.82
331,FLESH,4.7305,44.88
332,URBAN,4.7297,40.62
333,NICHE,4.7289,40.42
334,WINCE,4.7285,43.99
335,ELFIN,4.7277,47.21
336,CRUSH,4.7268,48.06
337,LEAVE,4.7234,44.56
338,MOURN,4.722,48.79
339,BREAK,4.7196,40.07
340,VERSE,4.7178,46.35
341,SADLY,4.7168,42.7
342,SERVE,4.7149,45.74
343,BLAND,4.7115,49.39
344,CAGEY,4.7097,42.64
345,CAVIL,4.7069,51.04
346,GAVEL,4.7069,45.69
347,ANVIL,4.7053,46.03
348,DAILY,4.704,46.78
349,STALL,4.7028,42.92
350,FROND,4.7025,51.03
351,TRICK,4.7006,46.69
352,WAVER,4.6971,42.28
353,CHEER,4.6938,46.9
354,FIERY,4.6838,42.37
355,HINGE,4.6777,46.95
356,SPARK,4.6763,46.32
357,STEEP,4.6733,51.45
358,BEACH,4.6716,46.58
359,TULLE,4.6642,41.31
360,WHOLE,4.6619,40.72
361,SPEAK,4.6604,46.18
362,BRIEF,4.6581,43.94
363,FRANK,4.6565,45.67
364,TROMP,4.6564,51.49
365,RABID,4.6556,44.58
366,CABIN,4.655,50.54
367,ALLOT,4.6519,43.83
368,PANIC,4.6504,45.25
369,MOUNT,4.6502,54.49
370,BLEND,4.6454,47.73
371,SHELF,4.6443,46.86
372,CHORD,4.6441,53.44
373,FIELD,4.644,49.35
374,SWEET,4.6439,49.99
375,FIEND,4.6421,52.66
376,CROWN,4.6416,51.71
377,ROBIN,4.6393,48.61
378,POWER,4.6371,48.06
379,ABATE,4.6322,39.72
380,FORAY,4.6294,46.46
381,GLOVE,4.6278,47.99
382,PROUD,4.625,57.32
383,YIELD,4.6238,46.09
384,CLOUD,4.6237,56.57
385,HABIT,4.6221,47.69
386,CLOAK,4.6178,52.32
387,ANGRY,4.6162,47.18
388,MEDIA,4.6155,44.72
389,GNOME,4.6116,48.97
390,VAPOR,4.6082,45.78
391,GUIDE,4.6049,50.14
392,AURAL,4.6042,43.44
393,VAGUE,4.6039,43.52
394,SWEPT,4.5988,51.91
395,TRUST,4.598,55.12
396,LEERY,4.5971,43.92
397,PRISM,4.5959,50.63
398,TROUT,4.592,53.87
399,TAUNT,4.5885,51.4
400,MAYOR,4.5815,45.28
401,MIRTH,4.5809,50.45
402,DECAY,4.5804,45.05
403,ELUDE,4.5795,49.89
404,DIRTY,4.5793,48.01
405,GLOBE,4.579,47.8
406,TORSO,4.5691,50.37
407,TOUCH,4.5668,63.02
408,REPLY,4.5665,45.49
409,SMOKE,4.5655,47.64
410,BLUNT,4.5633,51.92
411,WIELD,4.5631,50.64
412,CHASM,4.5572,55.6
413,GHOST,4.5568,58.33
414,PAPER,4.5552,42.66
415,EXTRA,4.5543,38.08
416,MONEY,4.5503,49.92
417,VOCAL,4.5465,51.47
418,TACIT,4.5395,51.64
419,BRAWL,4.5394,49.2
420,EMOTE,4.5379,45.72
421,RANGY,4.5339,50.57
422,INNER,4.5336,44.12
423,BRAWN,4.5332,49.76
424,CHIVE,4.5329,53.45
425,DRESS,4.5275,46.17
426,VALID,4.5273,53.36
427,HASTY,4.5225,51.32
428,CLING,4.5216,61.35
429,AUDIO,4.52,50.96
430,SLICK,4.5197,58.44
431,HARDY,4.5195,49.61
432,UTTER,4.5185,44.67
433,MERCY,4.5183,51.29
434,AMITY,4.5152,52.3
435,HENCE,4.5146,55.13
436,ARDOR,4.5133,49.92
437,RULER,4.5004,44.23
438,CLASS,4.4981,50.55
439,WAGED,4.497,52.13
440,SHIFT,4.4961,68.14
441,CHIEF,4.4954,57.29
442,FLASK,4.4954,56.19
443,BREED,4.4953,58.97
444,NERVE,4.4931,49.41
445,DRINK,4.4926,57.32
446,MATCH,4.4922,58.72
447,SPAWN,4.4853,51.43
448,ORDER,4.4845,49.64
449,TAWNY,4.4834,53.59
450,QUIET,4.4816,48.73
451,WORLD,4.4744,54.04
452,LYRIC,4.4737,49.46
453,PSALM,4.4737,53.48
454,TWEAK,4.4732,47.78
455,BLEAK,4.4721,53.18
456,CANDY,4.4699,55.51
457,CRYPT,4.4691,50.71
458,SPRIG,4.4674,53.15
459,WORTH,4.4646,56.26
460,INPUT,4.4633,56.03
461,PRESS,4.4594,52.05
462,QUEST,4.4573,56.75
463,SIGHT,4.4531,62.48
464,QUOTE,4.4521,47.02
465,ABHOR,4.4519,46.39
466,CROWD,4.4515,61.93
467,TIPSY,4.4478,63.45
468,JOINT,4.447,56.69
469,SPEED,4.447,61.73
470,MOPED,4.4462,59.89
471,FEIGN,4.4456,61.5
472,TROTH,4.4448,58.76
473,FLANK,4.4422,57.9
474,CHILD,4.442,64.13
475,RURAL,4.4395,48.02
476,SHELL,4.4378,54.43
477,TITHE,4.4361,50.66
478,JAUNT,4.4332,52.3
479,AGONY,4.4319,57.08
480,HEAVE,4.4314,52.08
481,AVOID,4.4302,55.23
482,YACHT,4.4294,56.45
483,THEME,4.4269,57.5
484,SQUAT,4.4249,57.91
485,MONTH,4.424,60.46
486,LUSTY,4.4229,57.74
487,REVEL,4.4188,55.0
488,DEBTS,4.4112,48.31
489,SEVEN,4.4087,53.74
490,ADAGE,4.4032,52.12
491,LOGIC,4.4029,58.99
492,LAUGH,4.4025,57.61
493,DEPTH,4.3997,54.25
494,FLUKE,4.3979,56.14
495,UNFIT,4.3962,63.26
496,HYPER,4.3925,51.88
497,EVADE,4.392,53.98
498,FENCE,4.3858,58.79
499,CROSS,4.3857,55.31
500,HARSH,4.3846,51.87
501,ZONAL,4.3791,49.77
502,GROUP,4.3765,62.47
503,NEVER,4.3739,55.63
504,KNIFE,4.3684,56.01
505,KNEEL,4.3652,56.69
506,THING,4.362,65.81
507,HEAVY,4.3606,54.7
508,STOMP,4.3595,68.78
509,AROMA,4.3497,54.26
510,WATCH,4.3486,63.77
511,LIGHT,4.3444,58.99
512,LABEL,4.3397,54.02
513,JUICE,4.3342,53.58
514,BEGIN,4.3335,63.64
515,DRUNK,4.3321,62.14
516,EVENT,4.3273,55.68
517,CAJON,4.3261,58.28
518,OPTIC,4.3238,56.43
519,THINK,4.3183,69.2
520,DECOY,4.3146,57.38
521,FANCY,4.313,64.14
522,SPECK,4.3118,65.93
523,DWARF,4.3046,60.81
524,ASKEW,4.3018,48.81
525,JOUST,4.3015,70.6
526,VALVE,4.3004,52.68
527,TOUGH,4.3,70.07
528,WRING,4.2997,64.99
529,FLUID,4.2993,73.83
530,TRYST,4.2974,58.4
531,EQUAL,4.296,51.67
532,STOUT,4.2957,72.1
533,HUMAN,4.2916,58.35
534,BRISK,4.2883,60.4
535,VIGOR,4.2824,62.66
536,SEIZE,4.2798,55.55
537,LOCAL,4.2797,60.6
538,PRIOR,4.2795,58.63
539,SWIFT,4.2774,72.03
540,FATAL,4.2756,63.51
541,EXTOL,4.2749,53.43
542,FOUND,4.2724,78.83
543,SLUMP,4.2699,73.45
544,SCRUB,4.2644,59.11
545,EBONY,4.2604,66.16
546,NIGHT,4.2572,67.32
547,SENSE,4.2555,60.1
548,DOUBT,4.253,73.1
549,YOUTH,4.2509,72.14
550,EXERT,4.248,53.69
551,BONUS,4.2478,68.24
552,STUDY,4.245,73.48
553,DROSS,4.2449,59.44
554,UNWED,4.2388,62.12
555,VAPID,4.2379,65.49
556,TRUTH,4.2356,68.91
557,ENDOW,4.2309,62.34
558,LOFTY,4.2308,64.49
559,SHRUB,4.2305,65.39
560,ATTIC,4.2305,57.05
561,BROWN,4.2279,67.2
562,WEAVE,4.2097,62.24
563,AGAIN,4.2076,66.19
564,AVAIL,4.2052,66.49
565,BUILD,4.2052,79.14
566,ISSUE,4.201,53.36
567,FORUM,4.1974,71.43
568,MAGIC,4.1951,64.45
569,RIVER,4.1873,58.06
570,HONOR,4.1856,65.89
571,RALLY,4.1851,60.06
572,DRAMA,4.182,64.17
573,MAJOR,4.1761,56.15
574,TOPAZ,4.175,60.23
575,WHELP,4.1726,64.42
576,FOCUS,4.1707,72.39
577,DELVE,4.1671,73.08
578,MUSIC,4.1657,68.17
579,THICK,4.1608,82.09
580,LARVA,4.1566,62.92
581,OUGHT,4.156,73.67
582,AWARD,4.1527,70.02
583,COACH,4.1359,70.64
584,STUMP,4.1321,84.63
585,BRICK,4.1182,74.17
586,AVIAN,4.1176,68.04
587,RISKY,4.102,66.06
588,NIFTY,4.1012,75.38
589,QUOTA,4.0959,65.08
590,ALLOY,4.0938,67.75
591,UMBRA,4.0919,63.78
592,ELBOW,4.0917,70.23
593,BURLY,4.0869,70.74
594,SPILL,4.0858,77.96
595,RONDO,4.0829,72.63
596,ALOOF,4.082,68.91
597,EXILE,4.0765,63.45
598,QUERY,4.0723,61.74
599,USUAL,4.0716,63.39
600,FLOOR,4.0664,72.76
601,TOXIC,4.0636,69.44
602,AUGUR,4.0593,66.5
603,BOOST,4.0555,82.07
604,UDDER,4.0554,61.44
605,AWFUL,4.0552,68.54
606,WITCH,4.0532,82.09
607,FEVER,4.0527,74.56
608,CLIMB,4.052,84.71
609,GAUDY,4.0511,78.99
610,AMISS,4.0427,63.88
611,MUSTY,4.0389,84.84
612,INDEX,4.0372,67.01
613,UNDUE,4.0353,65.7
614,UNION,4.0336,75.83
615,SQUAD,4.0253,71.27
616,AWAKE,4.0251,64.34
617,EVERY,4.0245,68.25
618,CANNY,4.0242,78.08
619,GULCH,4.0164,83.94
620,SPUNK,4.0157,88.54
621,YOUNG,4.0115,90.14
622,TWIST,4.005,85.26
623,VOUCH,4.0026,91.4
624,BLOWN,4.0004,78.55
625,HATCH,3.9981,77.07
626,ROCKY,3.9979,76.83
627,MIGHT,3.9849,84.19
628,VIXEN,3.9846,72.99
629,EMPTY,3.9845,77.98
630,LIMIT,3.9799,78.25
631,SULKY,3.9707,85.65
632,EMBER,3.9643,74.72
633,OAKUM,3.9634,67.72
634,OFFER,3.9599,62.39
635,PAGAN,3.9598,82.61
636,ZESTY,3.9441,68.04
637,QUEEN,3.9392,76.65
638,FIGHT,3.9385,91.46
639,ABASH,3.9346,75.68
